,Address,ITM_E,ITM_N,Geo Co-ordinates
0,"Coolnakisha, Leighlinbridge, carlow",666703,668525,POINT (-7.011664430136321 52.76364705205685)
1,"Castlequarter, Cratloe, clare",548739,663099,POINT (-8.758709981200944 52.71656867342507)
2,"Killagh, Doolin, clare",657990,756987,POINT (-7.124722700323869 53.55958734943042)
3,"Springhill, Ardnacrusha, clare",514944,829720,POINT (-9.303883190993798 54.20932148263037)
4,"aghern east, conna, cork",589456,593687,POINT (-8.153881645150147 52.09499560171814)
5,"Cove Hill, Baltimore, cork",547502,582101,POINT (-8.764354359242114 51.98847035436266)
6,"Moneygurney, Douglas, cork",571492,567241,POINT (-8.41385137405504 51.85664460350809)
7,"Ballygriffin, Killavullen, cork",552286,644152,POINT (-8.703479233415528 52.54660994349329)
8,"Templebryan North, Shannonvale, cork",537683,543985,POINT (-8.900443152253796 51.64486387501275)
9,"The Hamlet, Coolkellure, Lehenaghmore, Cork, cork",547502,582101,POINT (-8.764354359242114 51.98847035436266)
10,"Forest Hill, Carrigaline, cork",575445,558776,POINT (-8.355866905138653 51.78073986560651)
11,"lower quartertown, mallow, cork",547502,582101,POINT (-8.764354359242114 51.98847035436266)
12,"Brahalish, Durrus, Bantry, cork",547502,582101,POINT (-8.764354359242114 51.98847035436266)
13,"CHAPEL ROAD, BALLYCOTTON, cork",547502,582101,POINT (-8.764354359242114 51.98847035436266)
14,"Church Road, Whitechurch, cork",563449,579156,POINT (-8.531870690996099 51.96327670052761)
15,"Clashykinleen East, Kiskeam, Mallow, cork",547502,582101,POINT (-8.764354359242114 51.98847035436266)
16,"Gilcagh, Vicarstown, cork",554578,578727,POINT (-8.660891673602647 51.95876690750161)
17,"Gortroe, Bantry, cork",547536,715157,POINT (-8.784938042128525 53.1842826735659)
18,"Nordon West Village, Coolroe,, Ballincollig, cork",558503,568703,POINT (-8.60257908770876 51.86897170718596)
19,"Umrycam, Buncrana, donegal",617860,936921,POINT (-7.719609925833174 55.17924351532726)
20,"Drumharriff Td., Pettigo, donegal",600295,902033,POINT (-7.995404660875042 54.86611764226576)
21,"Blackrock Pier, Killybegs, donegal",571675,878670,POINT (-8.438946039634111 54.65541066333495)
22,"Carranadore, Castlefinn, donegal",623096,893170,POINT (-7.640935057202004 54.78595507137942)
23,"Chapel Road, Dungloe, donegal",600295,902033,POINT (-7.995404660875042 54.86611764226576)
24,"Pearse Road, Letterkenny, donegal",600295,902033,POINT (-7.995404660875042 54.86611764226576)
25,"Garrynagry, Rosscahill, galway",525453,677953,POINT (-9.10668665177916 52.84734270388938)
26,"Kilroe East, Inverin, galway",509693,723680,POINT (-9.353400309095887 53.25578393053653)
27,"Rathbaun Td, Castleblakeney, galway",566940,742857,POINT (-8.497526978109947 53.43477162982134)
28,"Turoe, Bullaun, galway",561947,722389,POINT (-8.570204741645446 53.25049967985148)
29,"Castlelambert, Athenry, galway",545827,729251,POINT (-8.812901371134428 53.31076261823019)
30,"Furrymelia East , , barna, galway",525246,724992,POINT (-9.120674868453044 53.26999045389894)
31,"Coteenty, Annaghdown, Galway, galway",528492,738775,POINT (-9.075131806502158 53.39428314372413)
32,"Marine Research Institute, Carna, galway",708652,733622,POINT (-6.368379741031634 53.34165950829902)
33,"Shannaghmore, Glenamaddy, galway",537171,736739,POINT (-8.944257815959372 53.37709193607544)
34,"Oakpark Road , Tralee , kerry",495613,602884,POINT (-9.525981260904734 52.16789593224378)
35,"Beech Road, Killarney, kerry",495613,602884,POINT (-9.525981260904734 52.16789593224378)
36,"Geata Dorm, Killahe West, Kenmare, kerry",490713,572280,POINT (-9.587810371906059 51.89195683545896)
37,"Ballymakegogue, The Spa, Tralee, kerry",495613,602884,POINT (-9.525981260904734 52.16789593224378)
38,"Dun Chaoin, Baile Bhiocaire (Vicarstown), Tralee, kerry",495613,602884,POINT (-9.525981260904734 52.16789593224378)
39,"Mercy Mounthawk School, Tralee, kerry",495613,602884,POINT (-9.525981260904734 52.16789593224378)
40,"The Tracks, Dingle., kerry",495613,602884,POINT (-9.525981260904734 52.16789593224378)
41,"Dunmurraghill, Donadea, kildare",682354,733125,POINT (-6.76330742287786 53.34193958628122)
42,"Derryvarroge , Donadea, kildare",679394,734196,POINT (-6.807477839517508 53.3520147975619)
43,"Kingsland, Kilgowan, kildare",683092,702035,POINT (-6.760315883433086 53.06247977855636)
44,"Ballyouskill, Ballyouskill, kilkenny",655034,651555,POINT (-7.187378757905013 52.61245166911024)
45,"Donoughmore, Ballyragget, kilkenny",645090,671388,POINT (-7.331479787469474 52.79161288357432)
46,"Tickerlevan, Graiguenamanagh, kilkenny",667213,645213,POINT (-7.008859210156141 52.5540877912059)
47,"Lisdowney, Ballyragget, kilkenny",639569,670534,POINT (-7.413434304851449 52.78437061186604)
48,"Ballyadams, Stradbally, laois",662197,691073,POINT (-7.074116012262158 52.96681175945702)
49,"-, Moneenshinnagh, leitrim",592408,820874,POINT (-8.116176657272678 54.13683282783802)
50,"Balinlee, Bruff, limerick",562663,636808,POINT (-8.549668704856943 52.48141393411302)
51,"Holycross, Bruff, limerick",608184,654564,POINT (-7.879075669465257 52.64222208671284)
52,"Pound Lane, Rathkeale, limerick",544869,641505,POINT (-8.812382661225932 52.52212042091136)
53,"Knockcarron, Knocklong, limerick",571388,631597,POINT (-8.420778423515008 52.43510428872494)
54,"Glencarrig, Kilmeedy, limerick",537456,627936,POINT (-8.919059487741078 52.39937418231834)
55,"Lissard, Edgeworthstown, longford",625934,775300,POINT (-7.607015861666615 53.72671465577869)
56,"Wheatfield House, Millockstown, Ardee, louth",697125,787947,POINT (-6.52450954865499 53.83193510091252)
57,"Muingnabo, Rossport, Ballina, mayo",572840,673176,POINT (-8.40284170679292 52.80888238876684)
58,"Rausakeera South, , kilmaine, mayo",525281,761328,POINT (-9.128768783117014 53.59647662942351)
59,"Treanrevagh, Brickens, mayo",534444,806534,POINT (-8.999986911610998 54.00387281933926)
60,"Gortteendrunagh, Castlebar, mayo",511244,799206,POINT (-9.351651330446847 53.93457765877444)
61,"Glengad, Ballina, mayo",650036,954024,POINT (-7.211468060831753 55.33067615810014)
62,"Kemmins Mill, Kilcock, kildare",689731,743109,POINT (-6.649725112737118 53.43044035145334)
63,"Cockhill Road, Stamullen, meath",688063,768372,POINT (-6.667708611867138 53.65768947099826)
64,"Balgree, Carnaross, meath",665307,779140,POINT (-7.00964482896458 53.75777562742434)
65,"Boycetown, Kiltale, meath",686412,753291,POINT (-6.696854953089006 53.5224736534433)
66,"Kilballyporter, Rathmolyon, meath",677327,748582,POINT (-6.834989938093075 53.48157865928848)
67,"Lissaraw, Monaghan, monaghan",667238,829178,POINT (-6.969327330024268 54.20709791459822)
68,"Gorteen, Killeigh, offaly",632546,716883,POINT (-7.51287314669989 53.20138454314537)
69,"Killynagh More Td, Elphin, roscommon",587705,788099,POINT (-8.186821178984868 53.84222876272769)
70,"Coolbock, Riverstown, sligo",570976,821541,POINT (-8.444197315704887 54.14206299944992)
71,"Seafield, Knocknahur, sligo",563737,832488,POINT (-8.556300442006323 54.2399646346684)
72,"Turbeha/Cluttahina, Cappoquin, waterford",610469,603408,POINT (-7.846913652778806 52.18237652181828)
73,"Mocollop, Ballyduff, waterford",593511,599670,POINT (-8.094816179735218 52.14883786612569)
74,"Clonea Road, Dungarvan, waterford",619338,605000,POINT (-7.717134344941401 52.19644680365045)
75,"Ballyduff Upper, Ballyduff, waterford",596166,597984,POINT (-8.056002780553841 52.13370762287372)
76,"Tallacoolbeg, Dungarvan, waterford",630226,593873,POINT (-7.558864287117665 52.09594265841253)
77,"Fearmore, Moate, westmeath",616596,738127,POINT (-7.750488310248119 53.39303933272166)
78,"Cornamagh, Athlone, westmeath",605052,743127,POINT (-7.923965509409636 53.43820993504771)
79,"Newcastle, Tyrrellspass, westmeath",641254,775118,POINT (-7.374904856052217 53.72409314159898)
80,"Norristown, Bridgetown, wexford",695830,613212,POINT (-6.596143558164715 52.26225438947219)
81,"Knockadawk, Kilmuckridge, wexford",716892,646101,POINT (-6.276250632156207 52.55366882158555)
82,"Castlesow, Artramon, wexford",702850,629032,POINT (-6.488503012360604 52.40313535751893)
83,"Danescastle, Bannow, wexford",686652,610774,POINT (-6.731183851933581 52.24186745001212)
84,"Ballyhealy North, Kilmore, wexford",700372,605802,POINT (-6.531827383883058 52.19486083451041)
85,"Meath Road, Bray, wicklow",706700,695550,POINT (-6.410374540773367 53.00002906520766)
86,"Parkview House, Baltinglass Rd.,, Blessington, wicklow",703415,712702,POINT (-6.453782927842385 53.1547678723935)
87,"Kilcoole Road, Killincarrig, wicklow",706700,695550,POINT (-6.410374540773367 53.00002906520766)
88,"Bruse, Virginia, cavan",664030,783784,POINT (-7.028043211044023 53.7996602804859)
89,"'Aururo' Ardarostig, Bandon Road, Waterfall, Cork, cork",547502,582101,POINT (-8.764354359242114 51.98847035436266)
90,"Gurteenroe Commons, Liscarroll, cork",547123,610092,POINT (-8.774218059248669 52.24001719419731)
91,"Ballycatteen, Timoleague, cork",547755,545723,POINT (-8.755183325293055 51.66151193683033)
92,"Journey's End, Killagrohan, Mallow, cork",552702,600063,POINT (-8.691138425767457 52.15038374412443)
93,"Drumcoe, Mountcharles, donegal",582859,875360,POINT (-8.265439093160294 54.62617468282048)
94,"Magheradrumman, Carndonagh, donegal",649907,941821,POINT (-7.215664437856701 55.221067389941)
95,"Castledoe , Creeslough, donegal",608051,931972,POINT (-7.873744518487859 55.13503758561093)
96,"Eskershanore, Kilchreest, Loughrea, galway",556024,714452,POINT (-8.657858267144766 53.17871608352533)
97,"Ardskea Beg, Corofin, galway",544835,743108,POINT (-8.830203146489882 53.43517850315357)
98,"Shinnagh, Rathmore, kerry",516780,592686,POINT (-9.214143042645119 52.07984528587928)
99,"Tiernaboul, Killarney, kerry",495613,602884,POINT (-9.525981260904734 52.16789593224378)
100,"Primrose Hill, Celbridge, kildare",696055,733296,POINT (-6.557576929012339 53.34116678754172)
101,"Caslte eve, Kells, Co. Kilkenny",649610,644478,POINT (-7.268520495743178 52.54937044139439)
102,"Aughanure, Ballylinan, Ballylinan, laois",641157,693531,POINT (-7.386986897486118 52.99092850625499)
103,"Bohergar, Boher, limerick",569463,652334,POINT (-8.450992371936252 52.62138213298762)
104,"Baltray Road, Termonfeckin, louth",712745,781382,POINT (-6.289726148524386 53.76981458599977)
105,"Kilmore, Foxford, mayo",512286,543935,POINT (-9.267319283251624 51.64102792238085)
106,"Rathe, Kilmainhamwood, meath",680007,789883,POINT (-6.783985136038777 53.85224442154937)
107,"Collegelands, Moynalvey, Summerhill, meath",683694,749243,POINT (-6.738912985583564 53.48654401982947)
108,"Dublin Road, Thurles, tipperary",599651,652230,POINT (-8.005154260002385 52.62130565142074)
109,"Lisheen, Davis Road, Clonmel, tipperary",599651,652230,POINT (-8.005154260002385 52.62130565142074)
110,"Red City, Fethard, tipperary",620438,634775,POINT (-7.699234713209616 52.46403528486402)
111,"Ballyvellon, , Dunhill, waterford",648418,603803,POINT (-7.291963622171802 52.18390197979228)
112,"Glencairn, Lismore, waterford",600271,598318,POINT (-7.996041268200745 52.13672310285622)
113,"Graigue, Aglish, waterford",648128,683487,POINT (-7.284656074635479 52.90008416877246)
114,"Lough Sheever Corp Park, Mullingar, westmeath",636917,753182,POINT (-7.443217580542209 53.5272993230716)
115,"Killabeg, Tinnacross, wexford",699516,644668,POINT (-6.532816214362427 52.54424588577836)
116,"The Ridge, Old Leighlin, carlow",677668,663717,POINT (-6.850367224089521 52.71897764139238)
117,"Rathornan, Leighlinbridge, carlow",669386,667891,POINT (-6.972051535615094 52.75761188443022)
118,"Lisatoo, Poles, cavan",649610,806275,POINT (-7.243267362432753 54.00332289246794)
119,"attycristora, lahinch, clare",510403,687023,POINT (-9.332547933177274 52.92654612244403)
120,"Barrtra, Carrowntedaun, , Lahinch, clare",529487,679574,POINT (-9.047161723654614 52.86245231921442)
121,"Ard na Deirga, Killaloe, clare",567755,672852,POINT (-8.478228694611879 52.80569052158855)
122,"Carrowmore, Cratloe, clare",548181,663932,POINT (-8.7670994305501 52.72400177807094)
123,"Moyhill, Cratloe, clare",545484,660272,POINT (-8.806413465857684 52.69084437965692)
124,"Victoria Avenue, Ballinlough , cork",556688,776242,POINT (-8.656433798200146 53.73402641923303)
125,"IDA Business & Technology Park Carrigtohill, Carrigtohill, cork",581540,575218,POINT (-8.268413360845162 51.92877290123359)
126,"Ard Abhainn, Gogganstown,, Knockraha, cork",576970,580790,POINT (-8.335234588409003 51.9786887823775)
127,"Forest Hil, Carrigaline, cork",575445,558776,POINT (-8.355866905138653 51.78073986560651)
128,"Corran, Waterfall, cork",558116,563563,POINT (-8.6075760205959 51.82274082230541)
129,"Lismire, Newmarket, cork",534868,609802,POINT (-8.953573883732037 52.23609779132054)
130,"Kilmagoura , Newtown, cork",546289,621230,POINT (-8.788202909101031 52.34004133016777)
131,"Knockballymartin, Kilbrin, Kanturk, cork",536629,604873,POINT (-8.926872889101253 52.19200397242746)
132,"Nohovaldaly, Rathmore, cork",557491,641360,POINT (-8.626386563996652 52.52194761143605)
133,"Ballydeloughy, Mitchelstown, cork",574294,609174,POINT (-8.376328288526166 52.23370458234047)
134,"Kilbarry, Lissarda, cork",545657,606805,POINT (-8.795152907762073 52.21033168266197)
135,"Clashdermot East, Killeagh, cork",599865,576716,POINT (-8.001963535613809 51.9425445168056)
136,"Callaros Oughter, Goleen, cork",479274,528067,POINT (-9.738633702788237 51.4923317017989)
137,"Tooreen North, Burnfort, Mallow, cork",558682,590799,POINT (-8.60263812667896 52.06759562279023)
138,"Urhan, Eyeries, cork",547502,582101,POINT (-8.764354359242114 51.98847035436266)
139,"Ballincranig, Ballinhassig, cork",564611,564974,POINT (-8.513507183323002 51.83587309098925)
140,"Moanbaun, Leamlara, cork",547471,729577,POINT (-8.788288640736925 53.31385763108177)
141,"Tonduff, Buncrana, donegal",603530,896048,POINT (-7.945084771739958 54.8123319779185)
142,"Oughtmeen, Dungloe, donegal",580946,909773,POINT (-8.297321842018381 54.93529490534399)
143,"Dunmore, Carrickfinn,, Kincasslagh, donegal",600295,902033,POINT (-7.995404660875042 54.86611764226576)
144,"Drumroosk East, Donegal, donegal",593608,879750,POINT (-8.099080502401364 54.66586908939402)
145,"Tullyillion, Burtonport, donegal",600295,902033,POINT (-7.995404660875042 54.86611764226576)
146,"Main Street, Dunkineely, donegal",575940,874658,POINT (-8.372524347939773 54.61958510903865)
147,"Gortarrigan, Buncrana, donegal",600295,902033,POINT (-7.995404660875042 54.86611764226576)
148,"Largymore, Kilcar, donegal",565467,875820,POINT (-8.534809547611687 54.6294178436367)
149,"Main Street, Carraroe, galway",537171,736739,POINT (-8.944257815959372 53.37709193607544)
150,"Ballynagreeve, Loughrea, galway",558195,712509,POINT (-8.625129568629131 53.16142990959526)
151,"Letterfrack, Letterfrack, galway",471098,757378,POINT (-9.945263813320258 53.55048317458871)
152,"Tonacooleen, Caherlistrane, galway",529051,752674,POINT (-9.069863509531311 53.51924375440767)
153,"Gortnagoyne, Dunmore, galway",575479,786259,POINT (-8.372443943377023 53.82526148821848)
154,"Cloonavihony, Newbridge, galway",569782,750097,POINT (-8.455454594439438 53.50000406686306)
155,"Kincullia, Loughrea, galway",563978,719055,POINT (-8.539395997849336 53.22067970021121)
156,"Tumnahulla, Corrandulla, galway",537171,736739,POINT (-8.944257815959372 53.37709193607544)
157,"Drinaun Td., Ballygar, galway",537171,736739,POINT (-8.944257815959372 53.37709193607544)
158,"Knockbrack, Athenry, galway",551589,778616,POINT (-8.734079009576442 53.75491002757573)
159,"Castlelough Muckross, Killarney, kerry",495613,602884,POINT (-9.525981260904734 52.16789593224378)
