OBJECTID,County,Contae,Local_Government_Area,Limistéar_Rialtas_Áitiúil,Classification,Cineál,Gaeltacht,Town_Classification,ID,English_Name,Irish_Name,Foirm_Ghinideach,Alternative_Name,IG_E,IG_N,ITM_E,ITM_N,Irish_Validation,Legislation,Validated_By,Date_,Comment_
1,CARLOW,Ceatharlach,CARLOW,,ED,T,N,,17001,AGHA,Achadh,,,273158,165458,673093,665499,,,Fiontar,,
2,CARLOW,Ceatharlach,CARLOW,,ED,T,N,,17002,BALLINACARRIG,Baile na Carraige,,,270876,172624,670811,672664,,,Fiontar,,
3,CARLOW,Ceatharlach,CARLOW,,ED,T,N,,17003,BALLINTEMPLE,Baile an Teampaill,,,288298,167521,688229,667562,,,Fiontar,,
4,CARLOW,Ceatharlach,CARLOW,,ED,T,N,,17004,BALLON,Balana,,,282316,164647,682249,664689,,,Fiontar,,
5,CARLOW,Ceatharlach,CARLOW,,ED,T,N,,17005,BALLYELLIN,Baile Eilín,,,271289,153369,671224,653413,,,Fiontar,,
6,CARLOW,Ceatharlach,CARLOW,,ED,T,N,,17006,BALLYMOON,Baile Muáin,,,273651,161168,673585,661210,,,Fiontar,,
7,CARLOW,Ceatharlach,CARLOW,,ED,T,N,,17007,BALLYMURPHY,Baile Uí Mhurchú,,,278021,144377,677954,644423,,,Fiontar,,
8,CARLOW,Ceatharlach,CARLOW,,ED,T,N,,17008,BORRIS,An Bhuiríos,,,272371,150071,672306,650116,,,Fiontar,,
9,CARLOW,Ceatharlach,CARLOW,,ED,T,N,,17009,BURTON HALL,Baile na Cille,,,277539,179037,677473,679075,,,Fiontar,,
10,CARLOW,Ceatharlach,CARLOW,,ED,T,N,,17010,CARLOW RURAL,Ceatharlach (Tuath),,,273116,178471,673051,678510,,,Fiontar,,
11,CARLOW,Ceatharlach,CARLOW,,ED,T,N,,17011,CARLOW URBAN,Ceatharlach (Uirbeach),,,272221,176584,672156,676623,,,Fiontar,,
12,CARLOW,Ceatharlach,CARLOW,,ED,T,N,,17012,CLOGRENAN,Cloch Ghrianáin,,,267342,171656,667278,671696,,,Fiontar,,
13,CARLOW,Ceatharlach,CARLOW,,ED,T,N,,17013,CLONEGALL,Cluain na nGall,,,289656,161163,689587,661205,,,Fiontar,,
14,CARLOW,Ceatharlach,CARLOW,,ED,T,N,,17014,CLONMORE,Cluain Mhór,,,295984,176559,695914,676598,,,Fiontar,,
15,CARLOW,Ceatharlach,CARLOW,,ED,T,N,,17015,COONOGUE,Cuanóg,,,279867,147531,679800,647576,,,Fiontar,,
16,CARLOW,Ceatharlach,CARLOW,,ED,T,N,,17016,CORRIES,Na Coraí,,,274186,157115,674120,657158,,,Fiontar,,
17,CARLOW,Ceatharlach,CARLOW,,ED,T,N,,17017,CRANEMORE,An Corrán Mór,,,285654,156803,685586,656846,,,Fiontar,,
18,CARLOW,Ceatharlach,CARLOW,,ED,T,N,,17018,FENNAGH,Fionnmhach,,,277236,163750,677170,663792,,,Fiontar,,
19,CARLOW,Ceatharlach,CARLOW,,ED,T,N,,17019,GARRYHILL,An Gharbhchoill,,,279007,157644,678940,657687,,,Fiontar,,
20,CARLOW,Ceatharlach,CARLOW,,ED,T,N,,17020,GLYNN,An Gleann,,,275477,138664,675411,638711,,,Fiontar,,
21,CARLOW,Ceatharlach,CARLOW,,ED,T,N,,17021,GRANGEFORD,An Ghráinseach,,,280973,174981,680906,675020,,,Fiontar,,
22,CARLOW,Ceatharlach,CARLOW,,ED,T,N,,17022,HACKETSTOWN,Baile Haicéid,,,297099,180796,697028,680834,,,Fiontar,,
